@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,12,14'

@attribute Sol.Rad..Ly.day. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Wind.Run..miles. numeric
@attribute class {False,True}

@data
752,96.2,25,48,107.2,True
753,97.8,25,48,113,True
771,98.3,22,48,100.7,True
731,98.2,32,55,105.3,False
733,97.3,25,53,117.7,False
696,91.5,41,61,153.6,False
674,94.5,24,43,156.9,False
707,96.6,27,48,129.7,False
718,98.4,28,49,122.4,False
728,99.4,22,45,135.5,False
730,102.5,13,36,152.5,False
711,103.5,21,47,89.4,False
727,99.8,19,50,93.4,False
672,99,30,56,80.1,False
594,96.8,23,52,77.8,True
633,101,23,51,82.3,True
672,98.3,23,50,102.1,False
714,97.7,16,45,103.2,False
713,97.1,20,45,101.6,False
663,96,26,47,100.8,False
682,98.4,12,31,164.6,False
663,94.6,16,42,120.9,False
636,99,13,34,123.1,False
568,94.4,22,48,75.4,False
625,94.3,28,53,96.4,False
660,101,19,47,103.9,False
661,101.7,17,39,153.2,False
665,101.5,11,33,113.1,False
659,97.3,13,41,110.9,False
659,94.7,17,49,113.6,False
656,86.5,32,59,99.8,False
655,88.5,27,58,96.6,False
647,94,25,51,117.6,False
656,98.5,12,37,134.4,False
664,100.2,13,36,129.4,False
659,96,20,47,106.8,False
653,91.2,27,55,110.5,False
618,83.9,42,66,125.8,False
615,85.2,40,62,140.1,False
601,85.1,35,59,133.5,False
588,83.2,42,63,102.5,False
582,87.5,31,55,113.6,False
657,86.4,20,52,119.2,False
616,80.8,47,65,127.6,False
618,81.2,41,63,141.7,False
622,81.1,41,58,187.7,False
589,79.3,42,60,149.9,False
606,88.3,32,56,111.2,False
586,92.8,25,45,102.8,False
590,94.9,26,47,114.2,False
582,91.9,29,53,110.4,False
587,90.4,32,56,113.8,False
589,85.6,38,60,159.9,False
593,92.2,27,56,102.2,False
601,95.9,21,46,120.4,False
608,96.5,13,35,128,False
595,95,20,42,106.4,False
593,93.2,20,42,118.9,False
589,92.7,12,33,105.9,False
501,81.2,28,42,193.2,False
570,82,27,49,151.3,False
554,82.2,25,46,140.8,False
576,79.1,26,48,168,False
573,82.6,25,50,155.7,False
559,83.5,27,55,126.4,False
561,81.5,31,56,112,False
544,89,20,46,122.2,False
545,92.7,13,27,105.9,False
531,93.6,15,31,113.8,False
522,91.8,20,39,107.1,False
531,90.6,21,40,111.3,False
526,93.6,13,33,118.6,False
513,93.7,15,34,119.2,False
