@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-V-R2,4,8-9,12,14-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V'

@attribute Sol.Rad..Ly.day. numeric
@attribute Max.Air.Temp..F. numeric
@attribute Min.Rel.Hum.... numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Wind.Run..miles. numeric
@attribute class {False,True}

@data
306,74.5,27,42,164.9,False
376,78.7,16,29,218.2,False
347,78.7,14,28,134.4,False
260,63.2,28,41,205.3,False
355,83.2,30,51,105.7,False
317,87.2,14,29,106,False
342,85.7,22,37,77,False
707,103.5,20,38,85.7,False
433,81.1,17,32,94.2,False
344,76.7,14,26,139.4,False
558,97.2,20,42,128.6,False
477,79.4,35,66,205.3,False
212,65.7,20,36,80.4,False
563,89.8,23,47,126.3,False
619,96.7,26,48,144.2,False
778,87.6,19,25,254.1,False
244,67.6,18,37,70,False
224,64.3,33,50,65.9,False
213,70.1,20,42,58.6,False
228,66.5,32,51,74.4,False
252,68.1,33,54,64.1,False
220,68.2,30,49,69.7,False
240,68.1,33,53,62.8,False
227,69.3,69,93,117.1,False
724,92.8,26,47,146.6,False
214,66.7,68,89,67.3,False
747,79.1,40,61,129.4,False
275,59.5,50,76,92.5,False
503,76.4,23,43,130.7,False
270,63.2,50,72,127.7,False
259,68.3,44,78,69.4,False
119,56.4,99,100,81.9,False
33,50.6,99,100,66.4,False
578,95.3,22,42,130.8,False
268,62,43,75,97.1,False
221,65.9,43,78,117,False
208,60.9,65,92,71.9,False
259,65.4,32,45,135.8,False
261,66.6,26,38,111.3,False
251,65,57,86,57.7,False
123,63.8,76,98,79.9,False
211,58.3,49,72,103.1,False
162,58.3,66,88,87.1,False
258,65.7,39,66,80.2,False
274,59.3,34,58,299.2,False
274,58.4,29,44,257.4,False
254,62.4,34,59,86.5,False
261,64.6,45,79,83.6,False
377,89.8,10,18,124.2,False
279,58.5,23,41,190.1,False
347,80.1,14,32,65.9,False
745,99.2,20,37,129.6,False
244,56.8,58,84,57.4,False
176,61.4,81,96,113.4,False
44,55.9,99,100,94.5,False
107,51.5,100,100,61.8,False
753,94.2,25,51,94.1,False
603,95.8,20,45,113.5,False
198,64.8,64,90,64.3,False
511,98.6,22,35,97.9,False
311,63.2,34,56,166.3,False
757,83.9,34,62,95.2,False
764,87.4,21,47,112.3,False
323,69.3,45,75,67.9,False
220,60.6,65,90,62.2,False
294,72.3,42,75,70.4,False
183,63,66,90,63.5,False
607,87.8,31,49,166.7,False
631,95.9,22,51,111.5,False
319,51.5,47,77,129.4,False
368,57.1,53,79,73,False
314,54.5,52,85,65.9,False
281,53.7,54,81,75.5,False
432,56.1,35,52,220.7,False
431,59.6,34,54,116.9,False
441,57.2,33,58,270.1,False
452,59.9,23,39,177,False
329,59.4,40,64,66.7,False
318,60.6,54,77,88.9,False
587,97.9,24,41,135.1,False
735,93,33,59,104.2,False
332,81.6,19,37,60,False
218,61.1,68,87,56.1,False
431,58.1,43,60,221,False
523,67.7,31,60,167.8,False
483,65.4,37,52,253.9,False
546,64.7,24,36,292.4,False
543,66.9,24,42,160.6,False
531,70.8,30,54,89.6,False
286,77.4,34,53,107.8,False
478,74.6,41,65,77.3,False
685,95.5,20,47,126.3,False
552,67.3,39,67,111.5,False
403,64,53,83,77,False
416,66.4,48,82,136,False
584,66.9,44,71,137.4,False
594,71.5,38,63,137.6,False
560,76.7,32,56,112.6,False
274,66,60,85,73.9,False
350,66.7,51,77,117.9,False
442,72.3,46,81,99.8,False
557,77.2,55,74,109.2,False
387,77,54,76,131.4,False
631,69.7,37,56,286,False
652,74.7,26,42,266.5,False
422,68.2,40,48,265.9,False
649,76.8,26,47,202.8,False
609,79.7,35,55,102.3,False
765,87.3,17,42,103.1,False
247,63.9,39,61,144.5,False
549,69.7,44,68,164.7,False
490,71.1,24,50,139.1,False
654,85.4,37,60,80.9,False
580,84.9,35,57,133.8,False
613,70.3,46,66,247.6,False
286,75.3,40,67,87.1,False
324,81.1,24,51,82.9,False
675,91,23,39,140.5,False
748,94.6,25,45,111.6,False
678,92.2,24,50,110.2,False
670,87.9,30,54,105.4,False
731,88.2,35,58,115.8,False
676,79.1,43,64,112,False
85,61.2,52,54,57.4,False
673,74.1,34,57,129.3,False
724,94.1,20,30,110.8,False
711,82.9,16,36,129.3,False
482,83.8,18,31,129.2,False
715,82.2,12,46,123.5,False
658,73.1,37,57,193.1,False
647,70.6,50,64,182.9,False
688,78.9,41,64,127.6,False
687,80.3,43,65,146.1,False
614,99.4,22,40,144.2,False
702,86.2,25,55,140.5,False
711,84.1,38,63,105.8,False
712,85.2,26,53,126.9,False
431,83.4,17,35,72,False
476,76.7,38,64,174.6,False
530,68.9,44,62,174.2,False
560,69.1,52,75,127.1,False
727,80.5,44,69,98.1,False
753,76.2,35,63,181.1,False
490,71.6,49,71,135,False
735,81.9,39,62,130.2,False
411,76,28,50,231.3,False
77,55,70,86,74.7,True
143,53.7,40,66,176.5,True
429,66.2,47,78,109.6,True
33,57.6,99,100,111.2,True
586,67.4,51,72,270.7,True
191,64.4,42,55,120.3,True
64,55.6,99,100,84,True
70,59.4,84,98,140.5,True
58,53.8,84,93,162.5,True
10,59.7,63,90,175.7,True
147,58.3,60,82,116.9,True
313,57.8,37,62,222.6,True
405,64.4,47,81,168.5,True
132,59.7,63,84,255.3,True
248,56.3,61,81,147.5,True
273,54.7,66,86,129.3,True
386,71.5,47,66,116.8,True
101,66.2,43,44,73.5,True
209,68.6,66,84,163.1,True
170,62.8,59,84,152.3,True
51,50.3,43,85,296.7,True
360,58.7,51,76,180.7,True
258,56.9,55,81,114.3,True
155,72.8,35,37,183.3,True
239,69.1,46,74,72.4,True
312,65.6,54,79,232.3,True
380,59.1,47,69,167.2,True
240,68.8,23,53,114.1,True
81,62.6,99,100,170.2,True
449,70,51,76,173,True
417,67.1,59,88,134.3,True
341,58.6,49,73,137.7,True
751,87.1,31,55,122.4,True
787,98.7,21,44,100.8,True
344,72.7,36,65,110.4,True
253,63.1,40,46,215.7,True
604,93.2,19,41,139.5,True
773,96.2,13,35,101.2,True
770,98.1,15,28,147.9,True
767,97.1,23,35,144.1,True
140,57.2,70,87,112.3,True
753,97.8,25,48,113,True
188,60.2,67,92,74.5,True
203,55.8,73,90,144.3,True
633,101,23,51,82.3,True
270,81.2,51,74,105.7,True
89,58.9,64,91,83.6,True
234,65.5,56,79,155.5,True
399,62.5,66,83,203.3,True
53,63.3,37,42,200.1,True
118,63.7,97,99,156.8,True
116,60.5,79,92,207.8,True
215,59.6,57,79,186,True
92,58.6,51,57,117.7,True
161,70.6,37,38,144.1,True
38,55.3,99,100,101.6,True
225,66.4,57,89,82.4,True
41,53.1,99,99,68.1,True
534,64.1,44,61,240.9,True
93,58.8,83,95,145,True
135,56.6,95,99,163.6,True
76,55.4,67,93,167.4,True
91,63.1,52,56,96.5,True
56,70,46,46,87,True
104,64.3,49,54,121.8,True
77,54.5,89,98,107.3,True
238,67.7,39,79,134.3,True
36,59.3,90,99,252.7,True
117,61.1,71,85,142.7,True
207,62.4,65,90,117.5,True
167,64,80,93,211.7,True
459,80.5,18,49,174.5,True
121,59.9,88,98,160.5,True
179,61.8,57,82,308.1,True
174,58.3,70,91,251.7,True
169,52.2,71,92,184.7,True
123,66.3,48,54,59,True
203,55.4,75,94,201.7,True
286,62.1,75,97,113.7,True
110,47.3,79,96,62.9,True
85,62.1,52,91,309.7,True
234,62.5,75,90,276.4,True
271,55.1,66,85,180.1,True
87,55.3,30,45,193.1,True
255,58.3,39,67,111.6,True
314,58.9,46,70,162.6,True
38,58.6,63,86,189.6,True
201,65.9,79,94,243.3,True
82,54.5,99,100,112.5,True
205,64.7,76,91,121.1,True
